expression,reading,meaning,tags,parts_of_speech,group
はい,はい,yes,N5,expression,Basic Greetings
いいえ,いいえ,no,N5,expression,Basic Greetings
どうぞ,どうぞ,"please, go ahead",N5,expression,Basic Greetings
どうも,どうも,"thanks (casual), somehow",N5,expression,Basic Greetings
もしもし,もしもし,hello (on the phone),N5,expression,Basic Greetings
一,いち,one,N5,noun,Numbers & Counting
二,に,two,N5,noun,Numbers & Counting
三,さん,three,N5,noun,Numbers & Counting
十,じゅう,ten,N5,noun,Numbers & Counting
百,ひゃく,hundred,N5,noun,Numbers & Counting
千,せん,thousand,N5,noun,Numbers & Counting
今,いま,now,N5,noun,Time & Dates
今日,きょう,today,N5,noun,Time & Dates
明日,あした,tomorrow,N5,noun,Time & Dates
昨日,きのう,yesterday,N5,noun,Time & Dates
朝,あさ,morning,N5,noun,Time & Dates
夜,よる,"evening, night",N5,noun,Time & Dates
時間,じかん,time,N5,noun,Time & Dates
毎日,まいにち,every day,N5,adverb,Time & Dates
休み,やすみ,"holiday, day off",N5,noun,Time & Dates
お母さん,おかあさん,mother,N5,noun,Family & Relationships
お父さん,おとうさん,father,N5,noun,Family & Relationships
家族,かぞく,family,N5,noun,Family & Relationships
子供,こども,child,N5,noun,Family & Relationships
友達,ともだち,friend,N5,noun,Family & Relationships
人,ひと,person,N5,noun,Family & Relationships
頭,あたま,head,N5,noun,Body & Health
目,め,eye,N5,noun,Body & Health
手,て,hand,N5,noun,Body & Health
お腹,おなか,stomach,N5,noun,Body & Health
元気,げんき,"healthy, energetic",N5,noun,Body & Health
病院,びょういん,hospital,N5,noun,Body & Health
薬,くすり,medicine,N5,noun,Body & Health
御飯,ごはん,"rice (cooked), meal",N5,noun,Food & Cooking
水,みず,water,N5,noun,Food & Cooking
お茶,おちゃ,tea,N5,noun,Food & Cooking
コーヒー,コーヒー,coffee,N5,noun,Food & Cooking
肉,にく,meat,N5,noun,Food & Cooking
魚,さかな,fish,N5,noun,Food & Cooking
野菜,やさい,vegetable,N5,noun,Food & Cooking
卵,たまご,egg,N5,noun,Food & Cooking
食べ物,たべもの,food,N5,noun,Food & Cooking
レストラン,レストラン,restaurant,N5,noun,Food & Cooking
美味しい,おいしい,delicious,N5,i-adjective,Food & Cooking
家,いえ,"house, home",N5,noun,Home & Daily Life
部屋,へや,room,N5,noun,Home & Daily Life
トイレ,トイレ,"bathroom, toilet",N5,noun,Home & Daily Life
お風呂,おふろ,bath,N5,noun,Home & Daily Life
椅子,いす,chair,N5,noun,Home & Daily Life
机,つくえ,desk,N5,noun,Home & Daily Life
電気,でんき,"electricity, light",N5,noun,Home & Daily Life
服,ふく,clothes,N5,noun,Clothing & Accessories
靴,くつ,shoes,N5,noun,Clothing & Accessories
帽子,ぼうし,"hat, cap",N5,noun,Clothing & Accessories
傘,かさ,umbrella,N5,noun,Clothing & Accessories
学校,がっこう,school,N5,noun,School & Education
先生,せんせい,teacher,N5,noun,School & Education
学生,がくせい,student,N5,noun,School & Education
宿題,しゅくだい,homework,N5,noun,School & Education
仕事,しごと,"work, job",N5,noun,Work & Career
会社,かいしゃ,company,N5,noun,Work & Career
車,くるま,car,N5,noun,Travel & Transport
駅,えき,station,N5,noun,Travel & Transport
電車,でんしゃ,train,N5,noun,Travel & Transport
道,みち,"road, way",N5,noun,Travel & Transport
お金,おかね,money,N5,noun,Shopping & Money
店,みせ,"store, shop",N5,noun,Shopping & Money
買い物,かいもの,shopping,N5,noun,Shopping & Money
好き,すき,"like, fond of",N5,na-adjective,Feelings & Emotions
嫌い,きらい,dislike,N5,na-adjective,Feelings & Emotions
楽しい,たのしい,"fun, enjoyable",N5,i-adjective,Feelings & Emotions
大きい,おおきい,"big, large",N5,i-adjective,Colors & Descriptions
小さい,ちいさい,"small, little",N5,i-adjective,Colors & Descriptions
新しい,あたらしい,new,N5,i-adjective,Colors & Descriptions
高い,たかい,"tall, expensive",N5,i-adjective,Colors & Descriptions
安い,やすい,cheap,N5,i-adjective,Colors & Descriptions
天気,てんき,weather,N5,noun,Nature & Weather
雨,あめ,rain,N5,noun,Nature & Weather
花,はな,flower,N5,noun,Nature & Weather
山,やま,mountain,N5,noun,Nature & Weather
犬,いぬ,dog,N5,noun,Animals & Nature
猫,ねこ,cat,N5,noun,Animals & Nature
私,わたし,"I, me",N5,noun,Everyday Essentials
名前,なまえ,name,N5,noun,Everyday Essentials
これ,これ,this,N5,noun,Everyday Essentials
それ,それ,that,N5,noun,Everyday Essentials
何,なに,what,N5,noun,Everyday Essentials
誰,だれ,who,N5,noun,Everyday Essentials
食べる,たべる,to eat,N5,verb,Actions & Verbs
飲む,のむ,to drink,N5,verb,Actions & Verbs
行く,いく,to go,N5,verb,Actions & Verbs
来る,くる,to come,N5,verb,Actions & Verbs
見る,みる,"to see, to look",N5,verb,Actions & Verbs
聞く,きく,"to hear, to listen, to ask",N5,verb,Actions & Verbs
話す,はなす,to speak,N5,verb,Actions & Verbs
読む,よむ,to read,N5,verb,Actions & Verbs
書く,かく,to write,N5,verb,Actions & Verbs
買う,かう,to buy,N5,verb,Actions & Verbs
分かる,わかる,to understand,N5,verb,Actions & Verbs
する,する,to do,N5,verb,Actions & Verbs
